rank,image_id,true_label,modal_wrong_label,agreement,unanimous_same_wrong_label,n_arms_wrong,n_arms,p_true_mean,p_modal_mean,source_prefix,near_duplicate_partner,C1_pred,C1_p_pred,C2_pred,C2_p_pred,C4_pred,C4_p_pred,R0_pred,R0_p_pred,R1_pred,R1_p_pred,R2_pred,R2_p_pred,R3_pred,R3_p_pred,TLA_pred,TLA_p_pred,expert_label,expert_notes
1,Red spider/red_spider_00425.jpg,Red spider,Gray Blight,8/8,True,8,8,0.0301,0.8226,red_spider,,Gray Blight,0.8155,Gray Blight,0.8244,Gray Blight,0.7991,Gray Blight,0.8451,Gray Blight,0.862,Gray Blight,0.8345,Gray Blight,0.7856,Gray Blight,0.8146,Gray Blight,"SUSPECTED MISLABEL; tentative alternative, moderate visual confidence. Elongated marginal lesion with pale tan/gray center and brown border; focal blight-like necrosis favors Gray Blight. Brown blight or other injury remains possible; causal diagnosis is unconfirmed. Provisional visual review of contact-sheet thumbnail; not a verified plant-pathologist annotation. Labels/predictions were visible, so review was not blinded. Confirm on original images with a domain expert before changing ground truth."
2,Gray Blight/gray_blight_00552.jpg,Gray Blight,Red spider,8/8,True,8,8,0.0381,0.8091,gray_blight,,Red spider,0.7909,Red spider,0.8073,Red spider,0.7849,Red spider,0.8421,Red spider,0.8627,Red spider,0.8238,Red spider,0.7581,Red spider,0.8027,Ambiguous,"AMBIGUOUS; low diagnostic confidence. Large brown apical/marginal necrosis and curled blade; Gray Blight remains plausible. The image does not establish Red spider injury, so the model suggestion is insufficient for relabeling. Provisional visual review of contact-sheet thumbnail; not a verified plant-pathologist annotation. Labels/predictions were visible, so review was not blinded. Confirm on original images with a domain expert before changing ground truth."
3,Green mirid bug/green_mirid_bug_01099.jpg,Green mirid bug,Helopeltis,8/8,True,8,8,0.0444,0.8023,green_mirid_bug,,Helopeltis,0.7803,Helopeltis,0.8159,Helopeltis,0.7938,Helopeltis,0.8354,Helopeltis,0.8626,Helopeltis,0.8276,Helopeltis,0.7035,Helopeltis,0.7992,Ambiguous,"AMBIGUOUS; numerous small dark reddish-brown spots on a yellow-green blade. Puncture-like injury is compatible with Helopeltis, but Green mirid bug and other spotting cannot be separated without pest evidence and class definitions. Provisional visual review of contact-sheet thumbnail; not a verified plant-pathologist annotation. Labels/predictions were visible, so review was not blinded. Confirm on original images with a domain expert before changing ground truth."
4,Brown Blight/brown_blight_00361.jpg,Brown Blight,Tea algal leaf spot,8/8,True,8,8,0.0374,0.7993,brown_blight,,Tea algal leaf spot,0.77,Tea algal leaf spot,0.7903,Tea algal leaf spot,0.7568,Tea algal leaf spot,0.8382,Tea algal leaf spot,0.8575,Tea algal leaf spot,0.8365,Tea algal leaf spot,0.773,Tea algal leaf spot,0.7721,Tea algal leaf spot,"SUSPECTED MISLABEL; tentative alternative, moderate visual confidence. Numerous discrete pale tan/orange circular spots on a largely green blade favor Tea algal leaf spot. Raised or algal surface texture cannot be resolved; fungal spots remain an alternative. Provisional visual review of contact-sheet thumbnail; not a verified plant-pathologist annotation. Labels/predictions were visible, so review was not blinded. Confirm on original images with a domain expert before changing ground truth."
5,Gray Blight/gray_blight_01009.jpg,Gray Blight,Green mirid bug,8/8,True,8,8,0.0425,0.795,gray_blight,,Green mirid bug,0.7961,Green mirid bug,0.817,Green mirid bug,0.7934,Green mirid bug,0.8296,Green mirid bug,0.8537,Green mirid bug,0.8182,Green mirid bug,0.6532,Green mirid bug,0.7984,Ambiguous,"AMBIGUOUS; sparse dark lesions, holes and marginal tissue loss on the apparent underside. Insect injury is plausible, but Green mirid bug cannot be identified from holes alone; necrotic tissue loss can also accompany blight. No defensible replacement class. Provisional visual review of contact-sheet thumbnail; not a verified plant-pathologist annotation. Labels/predictions were visible, so review was not blinded. Confirm on original images with a domain expert before changing ground truth."
6,Tea algal leaf spot/tea_algal_leaf_spot_00189.jpg,Tea algal leaf spot,Brown Blight,8/8,True,8,8,0.0544,0.7907,tea_algal_leaf_spot,,Brown Blight,0.7838,Brown Blight,0.788,Brown Blight,0.8,Brown Blight,0.8148,Brown Blight,0.8096,Brown Blight,0.8279,Brown Blight,0.7004,Brown Blight,0.8011,Ambiguous,"AMBIGUOUS; folded dark leaf with extensive missing tissue and scattered reddish-brown spots. Folding and damage obscure lesion morphology; neither Brown Blight nor Tea algal leaf spot can be confirmed. Provisional visual review of contact-sheet thumbnail; not a verified plant-pathologist annotation. Labels/predictions were visible, so review was not blinded. Confirm on original images with a domain expert before changing ground truth."
7,Red spider/red_spider_00352.jpg,Red spider,Gray Blight,8/8,True,8,8,0.072,0.7886,red_spider,,Gray Blight,0.7929,Gray Blight,0.8306,Gray Blight,0.7918,Gray Blight,0.7496,Gray Blight,0.8032,Gray Blight,0.8127,Gray Blight,0.7336,Gray Blight,0.7947,Gray Blight,"SUSPECTED MISLABEL; tentative alternative, moderate visual confidence. Large pale tan/gray necrotic region with a darker border on the right side of the blade favors a blight lesion. Gray Blight is a candidate, but Brown Blight or other injury cannot be excluded. Provisional visual review of contact-sheet thumbnail; not a verified plant-pathologist annotation. Labels/predictions were visible, so review was not blinded. Confirm on original images with a domain expert before changing ground truth."
8,Helopeltis/helopeltis_00210.jpg,Helopeltis,Red spider,8/8,True,8,8,0.065,0.7644,helopeltis,,Red spider,0.7134,Red spider,0.6333,Red spider,0.7707,Red spider,0.8244,Red spider,0.8586,Red spider,0.8091,Red spider,0.7366,Red spider,0.7689,Ambiguous,"AMBIGUOUS; small dark curled leaf with extensive browning and poor visible detail. Advanced injury is nonspecific; the image cannot separate Helopeltis, mite injury and blight. Do not replace with Red spider solely from consensus. Provisional visual review of contact-sheet thumbnail; not a verified plant-pathologist annotation. Labels/predictions were visible, so review was not blinded. Confirm on original images with a domain expert before changing ground truth."
9,Green mirid bug/green_mirid_bug_00973.jpg,Green mirid bug,Gray Blight,8/8,True,8,8,0.0879,0.7628,green_mirid_bug,,Gray Blight,0.7398,Gray Blight,0.8007,Gray Blight,0.7706,Gray Blight,0.814,Gray Blight,0.8612,Gray Blight,0.7873,Gray Blight,0.5824,Gray Blight,0.7464,Ambiguous,"AMBIGUOUS; several discrete brown/pale-centered lesions with localized tissue loss on a mostly green blade. Insect feeding and fungal leaf spots overlap visually; Gray Blight is not confirmed and the original pest label remains possible. Provisional visual review of contact-sheet thumbnail; not a verified plant-pathologist annotation. Labels/predictions were visible, so review was not blinded. Confirm on original images with a domain expert before changing ground truth."
10,Brown Blight/brown_blight_00221.jpg,Brown Blight,Tea algal leaf spot,8/8,True,8,8,0.0922,0.7541,brown_blight,,Tea algal leaf spot,0.6749,Tea algal leaf spot,0.6843,Tea algal leaf spot,0.7784,Tea algal leaf spot,0.7959,Tea algal leaf spot,0.8305,Tea algal leaf spot,0.7859,Tea algal leaf spot,0.7349,Tea algal leaf spot,0.7484,Ambiguous,"AMBIGUOUS; many small dark circular spots on one side of the blade. Color and surface texture are insufficient to distinguish algal spots, fungal spots or puncture injury. Tea algal leaf spot is a candidate only. Provisional visual review of contact-sheet thumbnail; not a verified plant-pathologist annotation. Labels/predictions were visible, so review was not blinded. Confirm on original images with a domain expert before changing ground truth."
